P11250 QuickStatements for sona.pona.la wiki links
================================================================================

Total items: 323

QID             Word                           sonapona:pagename                       
--------------------------------------------------------------------------------
Q137763332      ijo ni li seme                 sonapona:ijo_ni_li_seme                          
Q137763422      jan pona                       sonapona:jan_pona                                
Q137763434      kala pona                      sonapona:kala_pona                               
Q137763435      kama pona                      sonapona:kama_pona                               
Q137763465      kiwen walo                     sonapona:kiwen_walo                              
Q137763503      linja lili                     sonapona:linja_lili                              
Q137763504      linja suwi                     sonapona:linja_suwi                              
Q137763553      musi lili                      sonapona:musi_lili                               
Q137763570      poki tona                      sonapona:poki_tona                               
Q137763592      tawa pona                      sonapona:tawa_pona                               
Q137763598      telo sitelen                   sonapona:telo_sitelen                            
Q137763612      tomo telo                      sonapona:tomo_telo                               
Q120435970      a                              sonapona:a                                       
Q137374183      akesi                          sonapona:akesi                                   
Q137374184      ala                            sonapona:ala                                     
Q137374185      alasa                          sonapona:alasa                                   
Q137104453      ale                            sonapona:ale                                     
Q135012208      anpa                           sonapona:anpa                                    
Q137374189      ante                           sonapona:ante                                    
Q137374190      anu                            sonapona:anu                                     
Q137374192      awen                           sonapona:awen                                    
Q137374193      e                              sonapona:e                                       
Q137374194      en                             sonapona:en                                      
Q137374374      epiku                          sonapona:epiku                                   
Q137374196      esun                           sonapona:esun                                    
Q137374197      ijo                            sonapona:ijo                                     
Q137374198      ike                            sonapona:ike                                     
Q137374199      ilo                            sonapona:ilo                                     
Q137374200      insa                           sonapona:insa                                    
Q137374201      jaki                           sonapona:jaki                                    
Q105816257      jan                            sonapona:jan                                     
Q137374375      jasima                         sonapona:jasima                                  
Q137374204      jelo                           sonapona:jelo                                    
Q137374205      jo                             sonapona:jo                                      
Q92186194       kala                           sonapona:kala                                    
Q137374207      kalama                         sonapona:kalama                                  
Q137374208      kama                           sonapona:kama                                    
Q137374209      kasi                           sonapona:kasi                                    
Q137374210      ken                            sonapona:ken                                     
Q137374211      kepeken                        sonapona:kepeken                                 
